,Date,Name,Nationality,Cause of death,mountain,Year,Month,Range
0,1895-08-24 00:00:00,Goman Singh Ghurka,Nepal,avalanche,Nanga Parbat,1895,8,Karakorum
1,1895-08-24 00:00:00,Ragobir Thapa Ghurka,Nepal,avalanche,Nanga Parbat,1895,8,Karakorum
2,1895-08-24 00:00:00,Albert F. Mummery,United Kingdom,avalanche,Nanga Parbat,1895,8,Karakorum
3,1905-08-28 00:00:00,unnamed porter,India,fall,Kangchenjunga,1905,8,Himalaya
4,1905-09-01 00:00:00,three unnamed others,India,fall,Kangchenjunga,1905,9,Himalaya
5,1905-09-01 00:00:00,Alexis Pache,Switzerland,fall,Kangchenjunga,1905,9,Himalaya
6,1922-06-07 00:00:00,Temba,Nepal,avalanche,Everest,1922,6,Himalaya
7,1922-06-07 00:00:00,Dorje,Nepal,avalanche,Everest,1922,6,Himalaya
8,1922-06-07 00:00:00,Lhakpa,Nepal,avalanche,Everest,1922,6,Himalaya
9,1922-06-07 00:00:00,Norbu,Nepal,avalanche,Everest,1922,6,Himalaya
10,1922-06-07 00:00:00,Pema,Nepal,avalanche,Everest,1922,6,Himalaya
11,1922-06-07 00:00:00,Pasang,Nepal,avalanche,Everest,1922,6,Himalaya
12,1922-06-07 00:00:00,Sange,Nepal,avalanche,Everest,1922,6,Himalaya
13,1924-05-13 00:00:00,Man Bahadur,Nepal,illness,Everest,1924,5,Himalaya
14,1924-05-17 00:00:00,Lance-Naik Shamsherpun,Nepal,others,Everest,1924,5,Himalaya
15,1924-06-09 00:00:00,George Mallory,United Kingdom,fall,Everest,1924,6,Himalaya
16,1924-06-09 00:00:00,Andrew Irvine,United Kingdom,unknown,Everest,1924,6,Himalaya
17,1929-05-27 00:00:00,Edgar Farmer,United States,disappeared,Kangchenjunga,1929,5,Himalaya
18,1930-05-09 00:00:00,Chettan,India,avalanche,Kangchenjunga,1930,5,Himalaya
19,1931-07-01 00:00:00,Lobsang,India,illness,Kangchenjunga,1931,7,Himalaya
20,1931-08-01 00:00:00,Babu Lall,India,illness,Kangchenjunga,1931,8,Himalaya
21,1931-08-09 00:00:00,Pasang 1,India,fall,Kangchenjunga,1931,8,Himalaya
22,1931-08-09 00:00:00,Hermann Schaller,Germany,fall,Kangchenjunga,1931,8,Himalaya
23,1934-05-31 00:00:00,Maurice Wilson,United Kingdom,exposure,Everest,1934,5,Himalaya
24,1934-06-08 00:00:00,Alfred Drexel,Nazi Germany,illness,Nanga Parbat,1934,6,Karakorum
25,1934-07-09 00:00:00,Ulrich Wieland,Nazi Germany,unknown,Nanga Parbat,1934,7,Karakorum
26,1934-07-09 00:00:00,Nima Nurbu,British Raj,unknown,Nanga Parbat,1934,7,Karakorum
27,1934-07-10 00:00:00,Nima Tashi,British Raj,exposure,Nanga Parbat,1934,7,Karakorum
28,1934-07-10 00:00:00,Pinju Norbu,British Raj,exposure,Nanga Parbat,1934,7,Karakorum
29,1934-07-10 00:00:00,Sherpa Dakshi,British Raj,unknown,Nanga Parbat,1934,7,Karakorum
30,1934-07-10 00:00:00,Dorje Nima,British Raj,exposure,Nanga Parbat,1934,7,Karakorum
31,1934-07-12 00:00:00,Wilhelm Welzenbach,Nazi Germany,exposure,Nanga Parbat,1934,7,Karakorum
32,1934-07-17 00:00:00,Willy Merkl,Nazi Germany,unknown,Nanga Parbat,1934,7,Karakorum
33,1934-07-17 00:00:00,Sherpa Gyali,British Raj,unknown,Nanga Parbat,1934,7,Karakorum
34,1939-07-30 00:00:00,Dudley Wolfe,USA,altitude,K-2,1939,7,Karakorum
35,1939-07-31 00:00:00,Pintso,Nepal,disappeared,K-2,1939,7,Karakorum
36,1939-07-31 00:00:00,Pasang Kitar,Nepal,disappeared,K-2,1939,7,Karakorum
37,1939-07-31 00:00:00,Pasang Kikuli,Nepal,disappeared,K-2,1939,7,Karakorum
38,1950-12-04 00:00:00,William H. Crace,United Kingdom,unknown,Nanga Parbat,1950,12,Karakorum
39,1950-12-04 00:00:00,John W. Thornley,United Kingdom,unknown,Nanga Parbat,1950,12,Karakorum
40,1952-10-31 00:00:00,Dorje Mingma,Nepal,fall,Everest,1952,10,Himalaya
41,1953-08-10 00:00:00,Art Gilkey,USA,avalanche,K-2,1953,8,Karakorum
42,1954-06-21 00:00:00,Mario Puchoz,Italy,illness,K-2,1954,6,Karakorum
43,1954-06-30 00:00:00,Francisco (Paco) Ibanez,Argentina,exposure,Dhaulagiri,1954,6,Himalaya
44,1955-05-26 00:00:00,Pemi Dorje,India,fall,Kangchenjunga,1955,5,Himalaya
45,1956-05-26 00:00:00,Bal Bahadur,Nepal,avalanche,Dhaulagiri,1956,5,Himalaya
46,1958-04-28 00:00:00,Narendra Dhar Jayal,India,altitude,Cho Oyu,1958,4,Himalaya
47,1959-04-29 00:00:00,Heinrich Roiss,Austria,exhaustion,Dhaulagiri,1959,4,Himalaya
48,1959-10-02 00:00:00,Claude Kogan,France,avalanche,Cho Oyu,1959,10,Himalaya
49,1959-10-02 00:00:00,Claudine van der Straten-Ponthoz,Belgium,avalanche,Cho Oyu,1959,10,Himalaya
50,1959-10-02 00:00:00,Ang Norbu,Nepal,avalanche,Cho Oyu,1959,10,Himalaya
51,1959-10-02 00:00:00,Chhowang,Nepal,avalanche,Cho Oyu,1959,10,Himalaya
52,1960-04-11 00:00:00,Wang Ji,China,others,Everest,1960,4,Himalaya
53,1960-04-29 00:00:00,Shao Shi-Ching [note 3],China,unknown,Everest,1960,4,Himalaya
54,1962-04-28 00:00:00,Nawang Tshering,Nepal,unknown,Everest,1962,4,Himalaya
55,1962-06-23 00:00:00,Siegfried (Sigi) Löw,Germany,fall,Nanga Parbat,1962,6,Karakorum
56,1963-03-23 00:00:00,Jake Breitenbach,United States,others,Everest,1963,3,Himalaya
57,1964-05-04 00:00:00,Georg Huber,West Germany,altitude,Cho Oyu,1964,5,Himalaya
58,1964-05-07 00:00:00,Alois Thurmayr,West Germany,altitude,Cho Oyu,1964,5,Himalaya
59,1966-05-01 00:00:00,Ma Gao-shu,China,fall,Everest,1966,5,Himalaya
62,1969-04-28 00:00:00,Vincent Hoeman,United States,avalanche,Dhaulagiri,1969,4,Himalaya
60,1969-04-28 00:00:00,Ross William,United States,avalanche,Dhaulagiri,1969,4,Himalaya
64,1969-04-28 00:00:00,Pemba Phutar,Nepal,avalanche,Dhaulagiri,1969,4,Himalaya
61,1969-04-28 00:00:00,David Seidman,United States,avalanche,Dhaulagiri,1969,4,Himalaya
65,1969-04-28 00:00:00,Paul Gerhard,United States,avalanche,Dhaulagiri,1969,4,Himalaya
66,1969-04-28 00:00:00,Tenzing,Nepal,avalanche,Dhaulagiri,1969,4,Himalaya
63,1969-04-28 00:00:00,Boyd Everett,United States,avalanche,Dhaulagiri,1969,4,Himalaya
67,1969-10-18 00:00:00,Phu Dorjee Sherpa,Nepal,fall,Everest,1969,10,Himalaya
68,1970-04-05 00:00:00,Kunga Norbu,Nepal,avalanche,Everest,1970,4,Himalaya
69,1970-04-05 00:00:00,Nima Dorje,Nepal,avalanche,Everest,1970,4,Himalaya
70,1970-04-05 00:00:00,Mima Norbu,Nepal,avalanche,Everest,1970,4,Himalaya
71,1970-04-05 00:00:00,Kami Tshering,Nepal,avalanche,Everest,1970,4,Himalaya
72,1970-04-05 00:00:00,Pasang,Nepal,avalanche,Everest,1970,4,Himalaya
73,1970-04-09 00:00:00,Kyak Tsering,Nepal,fall,Everest,1970,4,Himalaya
74,1970-04-21 00:00:00,Kiyoshi Narita,Japan,illness,Everest,1970,4,Himalaya
75,1970-05-30 00:00:00,Ian Clough,United Kingdom,fall,Annapurna,1970,5,Himalaya
76,1970-06-29 00:00:00,Günther Messner,Italy,avalanche,Nanga Parbat,1970,6,Karakorum
77,1971-04-18 00:00:00,Harsh Vardhan,India,fall,Everest,1971,4,Himalaya
78,1971-05-04 00:00:00,Ki-sup Kim,South Korea,fall,Manaslu,1971,5,Himalaya
79,1971-07-08 00:00:00,Näbi Mantas Hunza,Pakistan,fall,Nanga Parbat,1971,7,Karakorum
80,1972-04-10 00:00:00,Rinsing Ongyal,Nepal,avalanche,Manaslu,1972,4,Himalaya
81,1972-04-10 00:00:00,Phurba Tenzing,Nepal,avalanche,Manaslu,1972,4,Himalaya
82,1972-04-10 00:00:00,Pemba Rinji (Nawang Chultim),Nepal,avalanche,Manaslu,1972,4,Himalaya
83,1972-04-10 00:00:00,Pasang Nima,Nepal,avalanche,Manaslu,1972,4,Himalaya
84,1972-04-10 00:00:00,Gyalze,Nepal,avalanche,Manaslu,1972,4,Himalaya
85,1972-04-10 00:00:00,Ang Tendi (Ang Dawa),Nepal,avalanche,Manaslu,1972,4,Himalaya
94,1972-04-10 00:00:00,Ang Mingma (b),Nepal,avalanche,Manaslu,1972,4,Himalaya
86,1972-04-10 00:00:00,Ang Rita,Nepal,avalanche,Manaslu,1972,4,Himalaya
88,1972-04-10 00:00:00,Ang Mingma (a),Nepal,avalanche,Manaslu,1972,4,Himalaya
89,1972-04-10 00:00:00,Kazunari Yasuhisha,Japan,avalanche,Manaslu,1972,4,Himalaya
90,1972-04-10 00:00:00,Chang-hee Park,South Korea,avalanche,Manaslu,1972,4,Himalaya
91,1972-04-10 00:00:00,Sae-keon Oh,South Korea,avalanche,Manaslu,1972,4,Himalaya
92,1972-04-10 00:00:00,Joon-haeng Song,South Korea,avalanche,Manaslu,1972,4,Himalaya
93,1972-04-10 00:00:00,Ho-sup Kim,South Korea,avalanche,Manaslu,1972,4,Himalaya
87,1972-04-10 00:00:00,Wangel,Nepal,avalanche,Manaslu,1972,4,Himalaya
95,1972-04-25 00:00:00,Franz Jäger,Austria,unknown,Manaslu,1972,4,Himalaya
96,1972-04-26 00:00:00,Andi Schlick,Austria,unknown,Manaslu,1972,4,Himalaya
97,1972-11-16 00:00:00,Tony Tighe,Australia,others,Everest,1972,11,Himalaya
